Citing,Cited,total_citation,author_overlap,author_overlap_ratio,cite_per_bib,cite_per_ref,in_table,citation_length,occurence_in_sections,occurs_in_group,reference_overlap,distance_between_citance,tfidf_Title,tfidf_Abstract,tfidf_Citance_Title (max),tfidf_Citance_Title (avg),tfidf_Citance_Abstract (max),tfidf_Citance_Abstract (avg),pos_max,pos_avg,neg_max,neg_avg,neu_max,neu_avg,com_max,com_avg,wmd_title,wmd_abstract,wmd_body,wmd_citance_max,wmd_citance_avg,kw_title,kw_abstract,kw_body,bib_Author_overlap,bib_Title_overlap,bib_Venue_overlap,Label
C02-1130,C00-1072,2,1,0.5,0.1,0.05,0,193,15,0,0,272,0,0.070760440853694,0.1652437897046,0.185965175925052,0.145283016761816,0.15433808165909,0.104,0.071,0,0,0.962,0.929,0.886,0.8493,0.630540335755626,0.197085867629476,0.126296358030648,0.191366503177158,0.174693364239774,0,4,12,0,0,0.076923076923077,2
C04-1077,C00-1072,1,0,0,0.058823529411765,0.021739130434783,0,77,15,0,0,0,0.069972543418081,0.050596598922086,0,0,0.010259404074422,0.010259404074422,0.062,0.062,0.03,0.03,0.908,0.908,0.1027,0.1027,0.393728723433072,0.247961535871109,0.133754587852247,0.285794308683345,0.285794308683345,1,3,9,0,0,0,1
C08-1021,C00-1072,1,0,0,0.055555555555556,0.021739130434783,0,52,12,0,0,0,0,0.038922110782358,0.179647797498824,0.179647797498824,0.169801495864148,0.169801495864148,0,0,0,0,1,1,0,0,0.566081306892872,0.21658837017035,0.132598460656536,0.335221779340889,0.335221779340889,0,4,5,0,0,0.083333333333333,1
C08-1124,C00-1072,0,1,0.8,0,0,0,119,15,0,0,27,0.07397129483466,0.025817779709198,0.020807279156119,0.020807279156119,0.041681719779974,0.041681719779974,0.091,0.091,0,0,0.909,0.909,0.8107,0.8107,0.409139516235778,0.209209715128976,0.118668911671164,0.212714945199798,0.212714945199798,1,4,11,0.043478260869565,0,0,1
D08-1080,C00-1072,1,0,0,0.03448275862069,0.018518518518519,0,143,9,1,0,0,0.159764209241444,0.091280983903236,0.117886102093544,0.117886102093544,0.101576733554349,0.101576733554349,0.04,0.04,0,0,0.96,0.96,0.6674,0.6674,0.425061345253154,0.208805448356672,0.117607839351541,0.23445950875751,0.23445950875751,1,7,12,0,0,0.045454545454546,0
D09-1032,C00-1072,1,0,0,0.0625,0.03030303030303,0,82,18,0,0,0,0.08457986080147,0.041785789811145,0.181224373281627,0.181224373281627,0.201624265759656,0.201624265759656,0.03,0.03,0,0,0.97,0.97,0.34,0.34,0.42652609059914,0.241243098233351,0.123008457649442,0.208336506883172,0.208336506883172,1,4,11,0,0,0,1
E09-1062,C00-1072,1,0,0,0.058823529411765,0.025,0,27,10,1,0,0,0.101630669791127,0.02978029376791,0.051562699943804,0.051562699943804,0.071578379073417,0.071578379073417,0.056,0.056,0,0,0.944,0.944,0.0772,0.0772,0.376894751129983,0.173927336317602,0.109147706116066,0.339714377558734,0.339714377558734,1,4,9,0,0,0,0
I08-1016,C00-1072,1,0,0,0.066666666666667,0.0625,0,152,5,1,0,0,0.091939981740781,0.04178253470907,0.03609076527276,0.03609076527276,0.046346326740436,0.046346326740436,0.14,0.14,0.015,0.015,0.846,0.846,0.93,0.93,0.429104511366743,0.197044800998011,0.139900809190591,0.207527146876715,0.207527146876715,1,4,8,0.071428571428572,0,0.066666666666667,0
J10-1003,C00-1072,2,0,0,0.031746031746032,0.015384615384615,0,148,17,1,0,1811,0,0,0.020387247339215,0.04077449467843,0.041068333449729,0.068300581570937,0.195,0.137,0.074,0.045,0.905,0.8175,0.9456,0.66945,0.505498083774775,0.233633755693337,0.111735090581133,0.255903454624977,0.240326211188303,0,1,10,0.016129032258065,0,0.03030303030303,0
J11-1001,C00-1072,0,0,0,0,0,0,130,7,0,0,0,0.08457986080147,0.036651737632597,0,0,0.00924782082215,0.00924782082215,0.032,0.032,0,0,0.968,0.968,0.4767,0.4767,0.416287197351013,0.256240197573912,0.153673045883391,0.290923224207725,0.290923224207725,1,3,9,0.047619047619048,0,0,0
P02-1058,C00-1072,0,1,0.5,0,0,0,86,19,1,0,251,0.091939981740781,0.08453481296584,0.098216988519002,0.104572834813005,0.06269564753045,0.077192315220611,0.137,0.1065,0,0,0.924,0.8935,0.8225,0.71095,0.34894996735607,0.246037667372874,0.126783439191999,0.283780446000906,0.280512293103388,1,5,10,0,0,0.222222222222222,2
P05-1026,C00-1072,1,0,0,0.083333333333333,0.023809523809524,0,154,5,1,0,0,0,0.046488214333639,0.192886115962833,0.192886115962833,0.169003667885115,0.169003667885115,0,0,0.027,0.027,0.973,0.973,-0.4767,-0.4767,0.482075887707801,0.232047257220688,0.118505854548426,0.200481956051766,0.200481956051766,0,3,8,0.086956521739131,0,0,0
P06-1015,C00-1072,0,0,0,0,0,0,88,10,1,0.043478260869565,0,0,0.015644183345665,0.025693208933563,0.025693208933563,0.016717453562746,0.016717453562746,0.076,0.076,0,0,0.924,0.924,0.743,0.743,0.489039475848802,0.204922107976294,0.119863882747211,0.32860711444344,0.32860711444344,0,2,6,0,0.043478260869565,0.05,0
P06-4007,C00-1072,1,0,0,0.166666666666667,0.071428571428572,0,131,5,1,0,0,0,0.022554729241187,0.063385877138895,0.063385877138895,0.068771823855342,0.068771823855342,0.093,0.093,0.011,0.011,0.896,0.896,0.875,0.875,0.557940316981735,0.239229828949543,0.131024186881799,0.24135149671729,0.24135149671729,0,3,6,0.052631578947369,0,0,0
P07-1070,C00-1072,1,0,0,0.033333333333333,0.020833333333333,0,152,18,1,0.066666666666667,0,0.078744603455945,0.034998261796713,0.017527374753582,0.017527374753582,0.023068465417016,0.023068465417016,0.026,0.026,0,0,0.974,0.974,0.1779,0.1779,0.354613114388217,0.20136714647597,0.113163298029244,0.317062648077043,0.317062648077043,1,4,10,0,0.066666666666667,0,0
P08-1090,C00-1072,1,0,0,0.05,0.023809523809524,0,95,17,1,0,0,0,0.026499118914956,0.199778116557244,0.199778116557244,0.134989830613585,0.134989830613585,0,0,0.018,0.018,0.982,0.982,-0.1511,-0.1511,0.537346542843987,0.254318709723446,0.143986955729702,0.207856323400297,0.207856323400297,0,3,8,0.063829787234043,0,0.055555555555556,0
P08-1092,C00-1072,1,1,0.5,0.058823529411765,0.028571428571429,0,111,14,1,0,0,0,0.007619285062563,0.04679386041147,0.04679386041147,0.046379931462192,0.046379931462192,0.047,0.047,0.025,0.025,0.928,0.928,-0.1531,-0.1531,0.422215041097083,0.249546754946215,0.102675056601596,0.235146127773863,0.235146127773863,0,3,7,0.044444444444445,0,0,0
P09-1023,C00-1072,0,0,0,0,0,0,122,17,0,0,0,0,0.05119714709904,0.077541666380653,0.077541666380653,0.048758772052893,0.048758772052893,0.124,0.124,0,0,0.876,0.876,0.9273,0.9273,0.441257477055034,0.237290907816657,0.122212903174077,0.301010295853343,0.301010295853343,0,1,13,0,0,0.071428571428572,0
P09-2030,C00-1072,1,0,0,0.142857142857143,0.0625,0,115,5,1,0,0,0.101630669791127,0.012693680008945,0.023062831007778,0.023062831007778,0.007398405127935,0.007398405127935,0.202,0.202,0,0,0.798,0.798,0.9638,0.9638,0.394663315719914,0.215485164172769,0.131739499919463,0.261645934495219,0.261645934495219,1,2,5,0.083333333333333,0,0,0
P10-1094,C00-1072,1,1,0.8,0.045454545454546,0.022222222222222,0,102,18,0,0,0,0.07397129483466,0.043013321711237,0.049937085883025,0.049937085883025,0.047904316643216,0.047904316643216,0.069,0.069,0,0,0.931,0.931,0.5423,0.5423,0.385531075325571,0.221339144927901,0.129377423939102,0.327480361465521,0.327480361465521,1,3,13,0,0,0,0
P11-1155,C00-1072,1,0,0,0.03448275862069,0.032258064516129,0,130,10,1,0,0,0.08457986080147,0.022052812778099,0.039211818180175,0.039211818180175,0.030951919391482,0.030951919391482,0.074,0.074,0,0,0.926,0.926,0.6124,0.6124,0.479034228958606,0.22428667662489,0.17448426179477,0.254712735282044,0.254712735282044,1,2,7,0,0,0,0
C10-2104,C02-1025,1,0,0,0.032258064516129,0.016666666666667,0,79,15,1,0,0,0.159764209241444,0.039509947500068,0.02631571355755,0.02631571355755,0.046206473947761,0.046206473947761,0.065,0.065,0.055,0.055,0.879,0.879,0.2023,0.2023,0.407709425910235,0.20231095397563,0.10673940232551,0.169964279292602,0.169964279292602,0,3,11,0.015625,0,0.076923076923077,0
P03-1028,C02-1025,1,1,0.4,0.058823529411765,0.020833333333333,0,419,9,0,0.058823529411765,0,0.056297157575071,0.158386569489464,0.059109953251795,0.059109953251795,0.057520872170282,0.057520872170282,0.089,0.089,0.058,0.058,0.852,0.852,0.8953,0.8953,0.359567687523623,0.107170018850221,0.175068990600783,0.557887352566487,0.557887352566487,1,4,9,0,0.058823529411765,0.166666666666667,3
P05-1045,C02-1025,1,0,0,0.045454545454546,0.020833333333333,0,248,12,1,0.136363636363636,0,0.115557441210228,0.059843829638522,0.180439249310515,0.180439249310515,0.10461607526759,0.10461607526759,0.088,0.088,0.044,0.044,0.868,0.868,0.8527,0.8527,0.326399384148582,0.191064482588285,0.117362463527484,0.138180824626395,0.138180824626395,1,2,10,0,0.136363636363636,0.166666666666667,0
P05-1051,C02-1025,1,0,0,0.1,0.041666666666667,0,57,21,1,0.1,0,0,0.02751352301797,0.129094729981011,0.129094729981011,0.068885380335081,0.068885380335081,0,0,0,0,1,1,0,0,0.40655319207683,0.183855543604359,0.122844333167099,0.240183241751591,0.240183241751591,0,1,11,0.291666666666667,0.1,0.111111111111111,0
P06-1089,C02-1025,2,0,0,0.090909090909091,0.038461538461539,0,216,11,1,0,4406,0.216933817011397,0.1114226648553,0.165760836827184,0.199521280768609,0.098191156885298,0.103988964287818,0.051,0.047,0,0,0.957,0.953,0.8884,0.80765,0.321610246532524,0.258747319303317,0.134337852797456,0.188057767904273,0.163842220381613,2,3,12,0.020408163265306,0,0.125,0
P06-1141,C02-1025,2,0,0,0.111111111111111,0.043478260869565,0,197,10,1,0.111111111111111,1450,0.189767284338449,0.120092905117784,0.063667794194772,0.107090073323265,0.100675367395289,0.127127587698142,0.081,0.0695,0.054,0.052,0.892,0.879,0.7979,0.5045,0.37190004747659,0.141342169802096,0.130162760961677,0.235989791966037,0.172773237454646,3,5,12,0,0.111111111111111,0.066666666666667,1
C08-1028,H05-1079,1,0,0,0.0625,0.025641025641026,0,167,16,1,0,0,0,0.011315550281539,0.04287025639291,0.04287025639291,0.028251514343854,0.028251514343854,0.137,0.137,0.01,0.01,0.852,0.852,0.9376,0.9376,0.397176360638,0.159026335340439,0.110749829740921,0.227595593017864,0.227595593017864,0,1,3,0,0,0.1,0
C08-2001,H05-1079,2,0,0,0.181818181818182,0.105263157894737,1,121,5,1,0,225,0,0.047334180838883,0,0,0.060491079038562,0.074194777287664,0.106,0.0835,0.042,0.021,0.939,0.8955,0.7845,0.76755,0.542572285341652,0.118023359311464,0.087078326149025,0.216055448389772,0.196866782515546,0,3,9,0.173913043478261,0,0.111111111111111,0
D10-1074,H05-1079,1,0,0,0.041666666666667,0.015625,0,168,22,1,0.083333333333333,0,0.127359529794794,0.062123123508372,0.055644615752612,0.055644615752612,0.053371088991141,0.053371088991141,0.071,0.071,0.017,0.017,0.912,0.912,0.7759,0.7759,0.421392364662628,0.137366353195458,0.098234973498625,0.306559712433268,0.306559712433268,1,7,7,0,0.083333333333333,0.05,0
J07-3004,H05-1079,1,0,0,0.01010101010101,0.005524861878453,0,198,37,0,0.01010101010101,0,0,0.047774218626854,0.062930973941338,0.062930973941338,0.039445308316986,0.039445308316986,0.077,0.077,0,0,0.923,0.923,0.9319,0.9319,0.467784456009142,0.200423231480757,0.130009024048899,0.254442896053299,0.254442896053299,0,1,3,0,0.01010101010101,0.016393442622951,0
N06-1005,H05-1079,4,0,0,0.266666666666667,0.121212121212121,0,130.5,24,1,0.133333333333333,109.333333333333,0.101630669791127,0.125823310518044,0.059045563188833,0.118091126377667,0.104286125446213,0.114544668286909,0.084,0.0465,0.087,0.0615,0.904,0.8915,0.734,-0.06465,0.248638178037889,0.155814202566067,0.082323427986095,0.231212218323406,0.209840645693469,1,4,13,0,0.133333333333333,0.083333333333333,2
N06-1006,H05-1079,2,0,0,0.105263157894737,0.047619047619048,1,183.5,8,1,0.105263157894737,2868,0.101630669791127,0.106512353560735,0.09193178293729,0.169495881139311,0.087312991409355,0.107561802027758,0.06,0.0555,0.067,0.06,0.896,0.8845,0.1208,-0.1254,0.313892079004117,0.120463300718334,0.099334465906474,0.20482346704853,0.188411783999904,1,5,12,0.276595744680851,0.105263157894737,0.076923076923077,1
N10-1146,H05-1079,1,0,0,0.028571428571429,0.015873015873016,0,208,18,1,0,0,0.225764846002616,0.080178672408496,0.035739990515091,0.035739990515091,0.058335943381763,0.058335943381763,0.024,0.024,0.043,0.043,0.933,0.933,-0.6187,-0.6187,0.274281386168754,0.143241766552183,0.084364957725474,0.179689572266599,0.179689572266599,2,8,9,0.074626865671642,0,0.038461538461539,0
P06-1051,H05-1079,1,0,0,0.043478260869565,0.022222222222222,0,122,14,1,0,0,0.093494774975367,0.099646450440638,0.059154040613854,0.059154040613854,0.060301651720205,0.060301651720205,0.083,0.083,0.07,0.07,0.847,0.847,0.162,0.162,0.307741190582467,0.164122327676056,0.070280526133326,0.174869341846923,0.174869341846923,1,3,12,0,0,0.055555555555556,0
P06-2105,H05-1079,0,0,0,0,0,0,120,17,1,0,0,0.206136966068286,0.161252684333642,0.054820327512051,0.054820327512051,0.06975067556982,0.06975067556982,0,0,0.019,0.019,0.981,0.981,-0.296,-0.296,0.253099029029329,0.173929158719078,0.103275978835749,0.185606009924623,0.185606009924623,2,12,12,0.318181818181818,0,0.083333333333333,0
P11-1059,H05-1079,1,0,0,0.045454545454546,0.015625,0,131,16,0,0,0,0,0.007015507165807,0,0,0.01257772091773,0.01257772091773,0.042,0.042,0,0,0.958,0.958,0.5994,0.5994,0.357539918896944,0.192646496289127,0.099675198870142,0.367125610205266,0.367125610205266,0,1,4,0,0,0.066666666666667,0
P12-3013,H05-1079,1,0,0,0.058823529411765,0.03448275862069,0,98,8,0,0.058823529411765,0,0.206136966068286,0.081678142610336,0.065247244148837,0.065247244148837,0.074185926545378,0.074185926545378,0,0,0.049,0.049,0.951,0.951,-0.3811,-0.3811,0.374873164714903,0.149070648288855,0.094957082293708,0.20164163459338,0.20164163459338,2,4,10,0,0.058823529411765,0.111111111111111,0
Q13-1015,H05-1079,1,0,0,0.018867924528302,0.010869565217391,0,176,15,1,0,0,0.127359529794794,0.032414497511812,0,0,0.031862713312934,0.031862713312934,0.04,0.04,0.065,0.065,0.896,0.896,-0.5494,-0.5494,0.376152403655442,0.120501012031039,0.107319933992147,0.177840003463583,0.177840003463583,1,3,4,0.014814814814815,0,0.025641025641026,0
S12-1082,H05-1079,1,0,0,0.028571428571429,0.018518518518519,0,164,3,1,0.028571428571429,0,0,0.056729490776914,0.038995294760547,0.038995294760547,0.043696370344508,0.043696370344508,0.008,0.008,0.018,0.018,0.974,0.974,-0.3612,-0.3612,0.380751547985661,0.149206334250487,0.082206571089301,0.249004458892583,0.249004458892583,0,5,7,0.055555555555556,0.028571428571429,0.04,0
S12-1108,H05-1079,1,0,0,0.041666666666667,0.027777777777778,0,264,5,1,0,0,0.190874066130203,0.087934903670248,0.208165412144455,0.208165412144455,0.099093489543765,0.099093489543765,0.047,0.047,0.01,0.01,0.943,0.943,0.8126,0.8126,0.372766299489603,0.153115308586738,0.098376827605392,0.212944949648087,0.212944949648087,2,5,11,0.108695652173913,0,0.047619047619048,0
S13-1002,H05-1079,3,0,0,0.06,0.037037037037037,1,115.666666666667,12,1,0.02,2627,0.087044467925042,0.065976664958303,0.052985531976696,0.071697008530542,0.062881575349697,0.083904721729199,0.171,0.088,0.026,0.008666666666667,0.952,0.903333333333333,0.9477,0.622866666666667,0.429193716589865,0.187140008868333,0.079800866578576,0.215354662794628,0.208375079351717,1,6,8,0,0.02,0.027777777777778,3
S13-1014,H05-1079,1,0,0,0.027027027027027,0.02,0,279,9,1,0,0,0,0.03764266594295,0,0,0.043270800268671,0.043270800268671,0.048,0.048,0.005,0.005,0.947,0.947,0.8126,0.8126,0.401890302189866,0.171326899940773,0.063045559707392,0.234229218206658,0.234229218206658,0,2,6,0.02247191011236,0,0.037037037037037,0
W06-1621,H05-1079,1,0,0,0.0625,0.026315789473684,0,144,21,0,0,0,0,0.018611055614073,0.143525049404573,0.143525049404573,0.120194481389672,0.120194481389672,0.05,0.05,0,0,0.95,0.95,0.7096,0.7096,0.339057015505719,0.186618951735601,0.089825084705758,0.21130523477936,0.21130523477936,0,1,12,0,0,0,0
W08-2004,H05-1079,1,0,0,0.055555555555556,0.028571428571429,0,151,9,1,0,0,0.159739376863276,0.030269247965652,0,0,0.052722155099257,0.052722155099257,0.095,0.095,0.034,0.034,0.87,0.87,0.8225,0.8225,0.246732197206055,0.147450812199454,0.075504421060788,0.162434250385576,0.162434250385576,2,5,7,0,0,0,0
W11-0112,H05-1079,2,0,0,0.1,0.045454545454546,0,78,7,0,0.1,4386,0.087044467925042,0.036597427279403,0.032445556091615,0.06489111218323,0.02350074385444,0.029893268824337,0.087,0.0585,0.079,0.0485,0.952,0.893,0.2263,0.2021,0.326717520891642,0.182325704417114,0.081857393457607,0.155766674689643,0.152868078400253,1,5,8,0.214285714285714,0.1,0.066666666666667,0
C10-1076,I05-2038,1,0,0,0.047619047619048,0.016129032258065,0,92,12,0,0.047619047619048,0,0,0.057184947967509,0.173558525316125,0.173558525316125,0.10503436158363,0.10503436158363,0.05,0.05,0,0,0.95,0.95,0.3182,0.3182,0.490544684499049,0.180125569222341,0.084187140007408,0.291139780645632,0.291139780645632,0,5,9,0,0.047619047619048,0.066666666666667,1
C10-1088,I05-2038,2,1,0.25,0.1,0.042553191489362,0,121,15,0,0,1450,0,0.058269544788044,0.057762539865089,0.067576248988767,0.065033691868009,0.090419194734746,0.107,0.065,0.065,0.041,0.912,0.894,0.8847,0.1494,0.451505999595206,0.213932408702981,0.135398776275646,0.276832168421831,0.232509510015412,0,3,10,0,0,0.117647058823529,1
D09-1157,I05-2038,1,1,0.75,0.027027027027027,0.014925373134328,0,58,16,1,0,0,0,0.056579432465785,0.041964502636452,0.041964502636452,0.04503993813013,0.04503993813013,0.024,0.024,0,0,0.976,0.976,0.0772,0.0772,0.532261768825671,0.171811594347349,0.090593626841034,0.20561307621412,0.20561307621412,0,4,6,0.043010752688172,0,0.115384615384615,1
N10-1004,I05-2038,1,0,0,0.038461538461539,0.017543859649123,0,348,11,0,0,0,0,0.024324173397705,0.163145086996181,0.163145086996181,0.107234017850713,0.107234017850713,0.042,0.042,0,0,0.958,0.958,0.8481,0.8481,0.446670899886347,0.185465915919066,0.079591104360138,0.214010515235598,0.214010515235598,0,1,5,0,0,0.04,1
P06-1128,I05-2038,1,1,0.142857142857143,0.05,0.019230769230769,0,267,9,0,0.05,0,0,0.037402663519502,0.036874347092621,0.036874347092621,0.062266265382743,0.062266265382743,0.053,0.053,0.029,0.029,0.918,0.918,0.5389,0.5389,0.52850137846243,0.237695884541293,0.1360011616597,0.227817567160984,0.227817567160984,0,5,7,0.142857142857143,0.05,0.125,1
P06-4005,I05-2038,0,1,0.25,0,0,0,167.5,7,1,0.066666666666667,137,0,0.073049776112545,0.054881499656996,0.078649607081603,0.093131265667421,0.119418041600523,0.035,0.0335,0.037,0.0185,0.965,0.948,0.3182,-0.1613,0.449997821648026,0.215288239043412,0.099919314875018,0.292482291528963,0.285111614358094,0,4,12,0.060606060606061,0.066666666666667,0.153846153846154,2
C04-1018,J02-3001,1,0,0,0.055555555555556,0.023809523809524,0,447,11,0,0,0,0,0.015968031120441,0.026140090327519,0.026140090327519,0.072370708311823,0.072370708311823,0.041,0.041,0.032,0.032,0.927,0.927,-0.1913,-0.1913,0.48619502930136,0.16917630171212,0.074231911708167,0.138192920707301,0.138192920707301,0,2,11,0.048780487804878,0,0.222222222222222,0
D08-1094,J02-3001,1,0,0,0.028571428571429,0.014084507042254,0,316,8,0,0,0,0,0.052848946644966,0.043950686119177,0.043950686119177,0.088969795368338,0.088969795368338,0.008,0.008,0.024,0.024,0.968,0.968,-0.5859,-0.5859,0.371817450925606,0.135839032045086,0.072969521765138,0.131209294158597,0.131209294158597,0,5,12,0,0,0.083333333333333,0
E03-1040,J02-3001,1,0,0,0.047619047619048,0.021276595744681,0,135,13,1,0.190476190476191,0,0.115215543377931,0.075543537282575,0.137557756002698,0.137557756002698,0.136366178155996,0.136366178155996,0.049,0.049,0.019,0.019,0.932,0.932,0.4215,0.4215,0.349219852894185,0.11184419140881,0.055380306904187,0.203910461471664,0.203910461471664,1,5,15,0.25,0.190476190476191,0.230769230769231,0
P04-1043,J02-3001,3,0,0,0.214285714285714,0.057692307692308,0,108.333333333333,12,1,0,1769.5,0.115215543377931,0.087580148055261,0.034367364720639,0.103102094161916,0.089434936102908,0.153558072183798,0.033,0.011,0.048,0.025333333333333,1,0.963666666666667,0,-0.232633333333333,0.436851578260166,0.155615964534575,0.087161359199387,0.246834264533285,0.217246746182749,1,3,21,0.16,0,0.222222222222222,1
P07-1071,J02-3001,2,0,0,0.117647058823529,0.052631578947369,0,146.5,13,1,0.058823529411765,2928,0.09867961797987,0.214733628693353,0.044762651326355,0.08952530265271,0.111585410103207,0.193378716878962,0.042,0.021,0.033,0.0265,0.967,0.9525,0.4588,-0.08475,0.441257003820763,0.171434944909031,0.07392721658544,0.211147852582486,0.192029595056406,1,8,19,0,0.058823529411765,0.125,2
A00-1019,J96-1002,1,0,0,0.045454545454546,0.041666666666667,0,145,6,1,0,0,0,0,0,0,0.027605600790811,0.027605600790811,0.034,0.034,0.029,0.029,0.937,0.937,0.2023,0.2023,0.521021700303922,0.225229854409892,0.10009870937946,0.238637381175899,0.238637381175899,0,1,11,0,0,0.153846153846154,0
A00-2026,J96-1002,5,0,0,0.555555555555556,0.135135135135135,0,93.2,13,1,0,1273.25,0.201993092497918,0.073700341054614,0.043155070657706,0.067405708762478,0.053036447224628,0.085905101377729,0.052,0.026,0.093,0.0186,1,0.9556,0.4767,0.09778,0.385939154069614,0.196174348135759,0.110654930814179,0.254967254919986,0.219295468645168,2,7,11,0,0,0.4,2
A00-2031,J96-1002,1,0,0,0.142857142857143,0.05,0,93,9,0,0,0,0,0.018750799494859,0.056087333784735,0.056087333784735,0.056431587968751,0.056431587968751,0.057,0.057,0,0,0.943,0.943,0.6486,0.6486,0.470379820983678,0.155490228069537,0.095194782967488,0.194591428584091,0.194591428584091,0,2,6,0,0,0.333333333333333,0
A97-1056,J96-1002,2,1,0.8,0.086956521739131,0.052631578947369,0,206.5,11,0,0.086956521739131,3116,0,0.037459836512253,0.045843513088134,0.056970479523933,0.07333986056718,0.075186827698676,0.016,0.008,0.025,0.0125,1,0.9795,0,-0.22375,0.584695149564347,0.142122010674223,0.121541933897165,0.20522929571988,0.190150900110868,0,3,10,0.147058823529412,0.045454545454546,0.230769230769231,0
C00-1060,J96-1002,1,0,0,0.05,0.017543859649123,0,63,16,1,0,0,0,0.080529738750444,0.065265862711875,0.065265862711875,0.086013219663627,0.086013219663627,0.091,0.091,0,0,0.909,0.909,0.6908,0.6908,0.503044086742271,0.145234114937886,0.117650327582481,0.278571945991418,0.278571945991418,0,4,7,0,0,0.125,0
C00-1061,J96-1002,0,0,0,0,0,0,74,11,1,0,0,0,0.016521960104454,0.121903089622498,0.121903089622498,0.153442897366496,0.153442897366496,0.029,0.029,0.094,0.094,0.876,0.876,-0.7096,-0.7096,0.450589330081051,0.213899105382109,0.115202157068562,0.213541317181723,0.213541317181723,0,3,13,0,0,0.25,0
